Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_Radial_D6.3mm_H11.0mm_P2.50mm,1,100uF,
C4,0805,1,100nF,
D1,TO-220-3_Vertical,1,MBR2045CT,
"D2, D3",D_SMA_Handsoldering,2,SS14,
D4,0805,1,LED,
F1,1206,1,Fuse,
"J1, J10, J11, J12, J13, J14, J5, J6, J9",SolderWire-0.5sqmm_1x01_D0.9mm_OD2.1mm,9,Conn_01x01,
"J2, J3","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",2,Screw_Terminal_01x02,
Q1,TO-220-3_Vertical,1,Q_NMOS_GDS,
"Q2, Q5",SOT-23,2,MMBT2222A,
Q3,TO-252-2,1,Q_PMOS_GDS,
Q4,TO-220-3_Vertical,1,IRF9540N,
"R1, R2, R5, R7",0402,4,1K,
"R10, R3",0402,2,4.7k,
"R11, R6, R8",0402,3,10K,
R12,0603,1,10K,
R4,0603,1,1K,
U1,DIP-8_W7.62mm,1,NE555P,
